no_id,office_id,member_id,managed_entity_id,electric_date,electric_usage
50,OFF001,user050,ME001,2023-06-01,1.646721551
51,OFF001,user051,ME001,2023-06-01,1.10539199
52,OFF001,user052,ME001,2023-06-01,1.786402949
53,OFF001,user053,ME001,2023-06-01,1.574931774
54,OFF001,user054,ME001,2023-06-01,1.751116975
55,OFF001,user055,ME001,2023-06-01,1.633994697
56,OFF001,user056,ME001,2023-06-01,1.245939628
57,OFF001,user057,ME001,2023-06-01,1.11254958
58,OFF001,user058,ME001,2023-06-01,1.597814649
59,OFF001,user059,ME001,2023-06-01,1.37397694
60,OFF001,user060,ME001,2023-06-01,1.666563563
61,OFF001,user061,ME001,2023-06-01,1.403425426
62,OFF001,user062,ME001,2023-06-01,1.237725413
63,OFF001,user063,ME001,2023-06-01,1.673573916
64,OFF001,user064,ME001,2023-06-01,1.119520737
65,OFF001,user065,ME001,2023-06-01,1.271297392
66,OFF001,user066,ME001,2023-06-01,1.486570763
67,OFF001,user067,ME001,2023-06-01,1.68681961
68,OFF001,user068,ME001,2023-06-01,1.33815197
69,OFF001,user069,ME001,2023-06-01,1.647167632
70,OFF001,user070,ME001,2023-06-01,1.616002702
71,OFF001,user071,ME001,2023-06-01,1.429709254
72,OFF001,user072,ME001,2023-06-01,1.037660465
73,OFF001,user073,ME001,2023-06-01,1.473523025
74,OFF001,user074,ME001,2023-06-01,1.812033806
75,OFF001,user075,ME001,2023-06-01,1.467184484
76,OFF001,user076,ME001,2023-06-01,1.378944942
77,OFF001,user077,ME001,2023-06-01,1.663013338
78,OFF001,user078,ME001,2023-06-01,1.050762435
79,OFF001,user079,ME001,2023-06-01,1.063266167
80,OFF001,user080,ME001,2023-06-01,1.456249773
81,OFF001,user081,ME001,2023-06-01,1.205568908
82,OFF001,user082,ME001,2023-06-01,1.664904591
83,OFF001,user083,ME001,2023-06-01,1.575599739
84,OFF001,user084,ME001,2023-06-01,1.156154179
85,OFF001,user085,ME001,2023-06-01,1.902546032
86,OFF001,user086,ME001,2023-06-01,1.42314696
87,OFF001,user087,ME001,2023-06-01,1.368855073
88,OFF001,user088,ME001,2023-06-01,1.892991962
89,OFF001,user089,ME001,2023-06-01,1.774528044
90,OFF001,user090,ME001,2023-06-01,1.890965387
91,OFF001,user091,ME001,2023-06-01,1.612662527
92,OFF001,user092,ME001,2023-06-01,1.098180801
93,OFF001,user093,ME001,2023-06-01,1.520250586
94,OFF001,user094,ME001,2023-06-01,1.982543318
95,OFF001,user095,ME001,2023-06-01,1.632992518
96,OFF001,user096,ME001,2023-06-01,1.51309129
97,OFF001,user097,ME001,2023-06-01,1.122207703
98,OFF001,user098,ME001,2023-06-01,1.75287664
99,OFF001,user099,ME001,2023-06-01,1.765951836
100,OFF001,user100,ME001,2023-06-01,1.89261716
101,OFF001,user001,ME001,2023-06-01,1.837105985
102,OFF001,user002,ME001,2023-06-01,1.330900839
103,OFF001,user003,ME001,2023-06-01,1.62304372
104,OFF001,user004,ME001,2023-06-01,1.832578559
105,OFF001,user005,ME001,2023-06-01,1.921913462
106,OFF001,user006,ME001,2023-06-01,1.791825837
107,OFF001,user007,ME001,2023-06-01,1.247572217
108,OFF001,user008,ME001,2023-06-01,1.242343266
109,OFF001,user009,ME001,2023-06-01,1.968547815
110,OFF001,user010,ME001,2023-06-01,1.84053974
111,OFF001,user011,ME001,2023-06-01,1.35737528
112,OFF001,user012,ME001,2023-06-01,1.897728899
113,OFF001,user013,ME001,2023-06-01,1.178166272
114,OFF001,user014,ME001,2023-06-01,1.2155398
115,OFF001,user015,ME001,2023-06-01,1.938474807
116,OFF001,user016,ME001,2023-06-01,1.419846424
117,OFF001,user017,ME001,2023-06-01,1.927323352
118,OFF001,user018,ME001,2023-06-01,1.745258071
119,OFF001,user019,ME001,2023-06-01,1.200870961
120,OFF001,user020,ME001,2023-06-01,1.423173394
121,OFF001,user021,ME001,2023-06-01,1.148978894
122,OFF001,user022,ME001,2023-06-01,1.144069196
123,OFF001,user023,ME001,2023-06-01,1.692007504
124,OFF001,user024,ME001,2023-06-01,1.494358201
125,OFF001,user025,ME001,2023-06-01,1.570203058
126,OFF001,user026,ME001,2023-06-01,1.523680231
127,OFF001,user027,ME001,2023-06-01,1.577098183
128,OFF001,user028,ME001,2023-06-01,1.586451061
129,OFF001,user029,ME001,2023-06-01,1.510409468
130,OFF001,user030,ME001,2023-06-01,1.64098634
131,OFF001,user031,ME001,2023-06-01,1.490886634
132,OFF001,user032,ME001,2023-06-01,1.166017099
133,OFF001,user033,ME001,2023-06-01,1.041063567
134,OFF001,user034,ME001,2023-06-01,1.080042489
135,OFF001,user035,ME001,2023-06-01,1.694439242
136,OFF001,user036,ME001,2023-06-01,1.568220649
137,OFF001,user037,ME001,2023-06-01,1.696052653
138,OFF001,user038,ME001,2023-06-01,1.332971892
139,OFF001,user039,ME001,2023-06-01,1.685941726
140,OFF001,user040,ME001,2023-06-01,1.047979717
141,OFF001,user041,ME001,2023-06-01,1.59366721
142,OFF001,user042,ME001,2023-06-01,1.625375813
143,OFF001,user043,ME001,2023-06-01,1.031262015
144,OFF001,user044,ME001,2023-06-01,1.674103965
145,OFF001,user045,ME001,2023-06-01,1.684716088
146,OFF001,user046,ME001,2023-06-01,1.306083209
147,OFF001,user047,ME001,2023-06-01,1.994991157
148,OFF001,user048,ME001,2023-06-01,1.545419067
149,OFF001,user049,ME001,2023-06-01,1.544915543
150,OFF001,user050,ME001,2023-06-01,1.842815922
151,OFF001,user051,ME001,2023-06-01,1.859280918
152,OFF001,user052,ME001,2023-06-01,1.548475304
153,OFF001,user053,ME001,2023-06-01,1.355904402
154,OFF001,user054,ME001,2023-06-01,1.986445013
155,OFF001,user055,ME001,2023-06-01,1.750930562
156,OFF001,user056,ME001,2023-06-01,1.547417803
157,OFF001,user057,ME001,2023-06-01,1.471156891
158,OFF001,user058,ME001,2023-06-01,1.898382854
159,OFF001,user059,ME001,2023-06-01,1.114128024
160,OFF001,user060,ME001,2023-06-01,1.484598128
161,OFF001,user061,ME001,2023-06-01,1.672937195
162,OFF001,user062,ME001,2023-06-01,1.504679355
163,OFF001,user063,ME001,2023-06-01,1.793669853
164,OFF001,user064,ME001,2023-06-01,1.949534428
165,OFF001,user065,ME001,2023-06-01,1.586440036
166,OFF001,user066,ME001,2023-06-01,1.264452841
167,OFF001,user067,ME001,2023-06-01,1.689189393
168,OFF001,user068,ME001,2023-06-01,1.23421512
169,OFF001,user069,ME001,2023-06-01,1.645869648
170,OFF001,user070,ME001,2023-06-01,1.156811842
171,OFF001,user071,ME001,2023-06-01,1.775457499
172,OFF001,user072,ME001,2023-06-01,1.038579763
173,OFF001,user073,ME001,2023-06-01,1.121355017
174,OFF001,user074,ME001,2023-06-01,1.650305249
175,OFF001,user075,ME001,2023-06-01,1.572092618
176,OFF001,user076,ME001,2023-06-01,1.380888205
177,OFF001,user077,ME001,2023-06-01,1.007362489
178,OFF001,user078,ME001,2023-06-01,1.602668331
179,OFF001,user079,ME001,2023-06-01,1.299289
180,OFF001,user080,ME001,2023-06-01,1.397402992
181,OFF001,user081,ME001,2023-06-01,1.695878158
182,OFF001,user082,ME001,2023-06-01,1.796465098
183,OFF001,user083,ME001,2023-06-01,1.236713094
184,OFF001,user084,ME001,2023-06-01,1.695157732
185,OFF001,user085,ME001,2023-06-01,1.830989156
186,OFF001,user086,ME001,2023-06-01,1.06373216
187,OFF001,user087,ME001,2023-06-01,1.835667576
188,OFF001,user088,ME001,2023-06-01,1.577246294
189,OFF001,user089,ME001,2023-06-01,1.963071235
190,OFF001,user090,ME001,2023-06-01,1.530647272
191,OFF001,user091,ME001,2023-06-01,1.901752478
192,OFF001,user092,ME001,2023-06-01,1.377827041
193,OFF001,user093,ME001,2023-06-01,1.467543086
194,OFF001,user094,ME001,2023-06-01,1.721442523
195,OFF001,user095,ME001,2023-06-01,1.025991945
196,OFF001,user096,ME001,2023-06-01,1.436315787
197,OFF001,user097,ME001,2023-06-01,1.731656735
198,OFF001,user098,ME001,2023-06-01,1.44919313
199,OFF001,user099,ME001,2023-06-01,1.760197731
200,OFF001,user100,ME001,2023-06-01,1.316629024
201,OFF001,user001,ME001,2023-06-01,1.064193073
202,OFF001,user002,ME001,2023-06-01,1.556700495
203,OFF001,user003,ME001,2023-06-01,1.404918821
204,OFF001,user004,ME001,2023-06-01,1.112010454
205,OFF001,user005,ME001,2023-06-01,1.335676722
206,OFF001,user006,ME001,2023-06-01,1.94208941
207,OFF001,user007,ME001,2023-06-01,1.721078883
208,OFF001,user008,ME001,2023-06-01,1.254683864
209,OFF001,user009,ME001,2023-06-01,1.965219536
210,OFF001,user010,ME001,2023-06-01,1.459108441
211,OFF001,user011,ME001,2023-06-01,1.834201904
212,OFF001,user012,ME001,2023-06-01,1.399410886
213,OFF001,user013,ME001,2023-06-01,1.577632069
214,OFF001,user014,ME001,2023-06-01,1.98130391
215,OFF001,user015,ME001,2023-06-01,1.246984795
216,OFF001,user016,ME001,2023-06-01,1.779222835
217,OFF001,user017,ME001,2023-06-01,1.222446711
218,OFF001,user018,ME001,2023-06-01,1.775845534
219,OFF001,user019,ME001,2023-06-01,1.61258688
220,OFF001,user020,ME001,2023-06-01,1.478324377
221,OFF001,user021,ME001,2023-06-01,1.857248373
222,OFF001,user022,ME001,2023-06-01,1.473089325
223,OFF001,user023,ME001,2023-06-01,1.248343473
224,OFF001,user024,ME001,2023-06-01,1.846360109
225,OFF001,user025,ME001,2023-06-01,1.184933309
226,OFF001,user026,ME001,2023-06-01,1.224713291
227,OFF001,user027,ME001,2023-06-01,1.118379044
228,OFF001,user028,ME001,2023-06-01,1.375984886
229,OFF001,user029,ME001,2023-06-01,1.636029719
230,OFF001,user030,ME001,2023-06-01,1.130358936
231,OFF001,user031,ME001,2023-06-01,1.364148862
232,OFF001,user032,ME001,2023-06-01,1.733238308
233,OFF001,user033,ME001,2023-06-01,1.54401786
234,OFF001,user034,ME001,2023-06-01,1.841302201
235,OFF001,user035,ME001,2023-06-01,1.331525138
236,OFF001,user036,ME001,2023-06-01,1.840956153
237,OFF001,user037,ME001,2023-06-01,1.174690425
238,OFF001,user038,ME001,2023-06-01,1.585396063
239,OFF001,user039,ME001,2023-06-01,1.031100338
240,OFF001,user040,ME001,2023-06-01,1.478184298
241,OFF001,user041,ME001,2023-06-01,1.245471859
242,OFF001,user042,ME001,2023-06-01,1.092376846
243,OFF001,user043,ME001,2023-06-01,1.359212905
244,OFF001,user044,ME001,2023-06-01,1.728840929
245,OFF001,user045,ME001,2023-06-01,1.645293015
246,OFF001,user046,ME001,2023-06-01,1.96712564
247,OFF001,user047,ME001,2023-06-01,1.985172571
248,OFF001,user048,ME001,2023-06-01,1.610777382
249,OFF001,user049,ME001,2023-06-01,1.037514469
250,OFF001,user050,ME001,2023-06-01,1.911966474
251,OFF001,user051,ME001,2023-06-01,1.785616494
252,OFF001,user052,ME001,2023-06-01,1.832957477
253,OFF001,user053,ME001,2023-06-01,1.190083881
254,OFF001,user054,ME001,2023-06-01,1.670533237
255,OFF001,user055,ME001,2023-06-01,1.793318235
256,OFF001,user056,ME001,2023-06-01,1.182901045
257,OFF001,user057,ME001,2023-06-01,1.975894664
258,OFF001,user058,ME001,2023-06-01,1.767766251
259,OFF001,user059,ME001,2023-06-01,1.387373567
260,OFF001,user060,ME001,2023-06-01,1.153697673
261,OFF001,user061,ME001,2023-06-01,1.603713536
262,OFF001,user062,ME001,2023-06-01,1.784968635
263,OFF001,user063,ME001,2023-06-01,1.997787058
264,OFF001,user064,ME001,2023-06-01,1.470511634
265,OFF001,user065,ME001,2023-06-01,1.115229406
266,OFF001,user066,ME001,2023-06-01,1.164445877
267,OFF001,user067,ME001,2023-06-01,1.260832787
268,OFF001,user068,ME001,2023-06-01,1.424304262
269,OFF001,user069,ME001,2023-06-01,1.377516005
270,OFF001,user070,ME001,2023-06-01,1.588525687
271,OFF001,user071,ME001,2023-06-01,1.347105727
272,OFF001,user072,ME001,2023-06-01,1.026154787
273,OFF001,user073,ME001,2023-06-01,1.488606136
274,OFF001,user074,ME001,2023-06-01,1.295840122
275,OFF001,user075,ME001,2023-06-01,1.104098825
276,OFF001,user076,ME001,2023-06-01,1.903244318
277,OFF001,user077,ME001,2023-06-01,1.513660744
278,OFF001,user078,ME001,2023-06-01,1.423713875
279,OFF001,user079,ME001,2023-06-01,1.667383185
280,OFF001,user080,ME001,2023-06-01,1.442659519
281,OFF001,user081,ME001,2023-06-01,1.451649351
282,OFF001,user082,ME001,2023-06-01,1.244771948
283,OFF001,user083,ME001,2023-06-01,1.171188096
284,OFF001,user084,ME001,2023-06-01,1.789004703
285,OFF001,user085,ME001,2023-06-01,1.141184296
286,OFF001,user086,ME001,2023-06-01,1.813576396
287,OFF001,user087,ME001,2023-06-01,1.50813392
288,OFF001,user088,ME001,2023-06-01,1.467208435
289,OFF001,user089,ME001,2023-06-01,1.735438693
290,OFF001,user090,ME001,2023-06-01,1.427513799
291,OFF001,user091,ME001,2023-06-01,1.878212533
292,OFF001,user092,ME001,2023-06-01,1.274143035
293,OFF001,user093,ME001,2023-06-01,1.232145001
294,OFF001,user094,ME001,2023-06-01,1.611962123
295,OFF001,user095,ME001,2023-06-01,1.529899667
296,OFF001,user096,ME001,2023-06-01,1.744084214
297,OFF001,user097,ME001,2023-06-01,1.648542839
298,OFF001,user098,ME001,2023-06-01,1.975424591
299,OFF001,user099,ME001,2023-06-01,1.898658514
300,OFF001,user100,ME001,2023-06-01,1.601876158
301,OFF001,user001,ME001,2023-06-01,1.479439372
302,OFF001,user002,ME001,2023-06-01,1.334783084
303,OFF001,user003,ME001,2023-06-01,1.92610243
304,OFF001,user004,ME001,2023-06-01,1.033371713
305,OFF001,user005,ME001,2023-06-01,1.501617119
306,OFF001,user006,ME001,2023-06-01,1.050210638
307,OFF001,user007,ME001,2023-06-01,1.315855524
308,OFF001,user008,ME001,2023-06-01,1.920562346
309,OFF001,user009,ME001,2023-06-01,1.844178075
310,OFF001,user010,ME001,2023-06-01,1.50789099
311,OFF001,user011,ME001,2023-06-01,1.479513927
312,OFF001,user012,ME001,2023-06-01,1.937721422
313,OFF001,user013,ME001,2023-06-01,1.783167988
314,OFF001,user014,ME001,2023-06-01,1.68147879
315,OFF001,user015,ME001,2023-06-01,1.570270558
316,OFF001,user016,ME001,2023-06-01,1.643483764
317,OFF001,user017,ME001,2023-06-01,1.110488879
318,OFF001,user018,ME001,2023-06-01,1.31357432
319,OFF001,user019,ME001,2023-06-01,1.762199817
320,OFF001,user020,ME001,2023-06-01,1.588190529
321,OFF001,user021,ME001,2023-06-01,1.163919739
322,OFF001,user022,ME001,2023-06-01,1.038654168
323,OFF001,user023,ME001,2023-06-01,1.276839945
324,OFF001,user024,ME001,2023-06-01,1.972410646
325,OFF001,user025,ME001,2023-06-01,1.894190263
326,OFF001,user026,ME001,2023-06-01,1.702993514
327,OFF001,user027,ME001,2023-06-01,1.867770671
328,OFF001,user028,ME001,2023-06-01,1.797562335
329,OFF001,user029,ME001,2023-06-01,1.694160438
330,OFF001,user030,ME001,2023-06-01,1.759925989
331,OFF001,user031,ME001,2023-06-01,1.032577493
332,OFF001,user032,ME001,2023-06-01,1.782750333
333,OFF001,user033,ME001,2023-06-01,1.733972828
334,OFF001,user034,ME001,2023-06-01,1.618771875
335,OFF001,user035,ME001,2023-06-01,1.248008452
336,OFF001,user036,ME001,2023-06-01,1.504302513
337,OFF001,user037,ME001,2023-06-01,1.540049797
338,OFF001,user038,ME001,2023-06-01,1.235317736
339,OFF001,user039,ME001,2023-06-01,1.36382118
340,OFF001,user040,ME001,2023-06-01,1.064995581
341,OFF001,user041,ME001,2023-06-01,1.886426104
342,OFF001,user042,ME001,2023-06-01,1.507124789
343,OFF001,user043,ME001,2023-06-01,1.465458104
344,OFF001,user044,ME001,2023-06-01,1.359278728
345,OFF001,user045,ME001,2023-06-01,1.353794592
346,OFF001,user046,ME001,2023-06-01,1.13609654
347,OFF001,user047,ME001,2023-06-01,1.038509577
348,OFF001,user048,ME001,2023-06-01,1.03011018
349,OFF001,user049,ME001,2023-06-01,1.462855974
350,OFF001,user050,ME001,2023-06-01,1.277539691
351,OFF001,user051,ME001,2023-06-01,1.467503475
352,OFF001,user052,ME001,2023-06-01,1.491669386
353,OFF001,user053,ME001,2023-06-01,1.291088622
354,OFF001,user054,ME001,2023-06-01,1.869743536
355,OFF001,user055,ME001,2023-06-01,1.227656836
356,OFF001,user056,ME001,2023-06-01,1.935384558
357,OFF001,user057,ME001,2023-06-01,1.065926079
358,OFF001,user058,ME001,2023-06-01,1.889393044
359,OFF001,user059,ME001,2023-06-01,1.59161684
360,OFF001,user060,ME001,2023-06-01,1.623565609
361,OFF001,user061,ME001,2023-06-01,1.603456378
362,OFF001,user062,ME001,2023-06-01,1.419205176
363,OFF001,user063,ME001,2023-06-01,1.287105654
364,OFF001,user064,ME001,2023-06-01,1.942143419
365,OFF001,user065,ME001,2023-06-01,1.96177644
366,OFF001,user066,ME001,2023-06-01,1.812928039
367,OFF001,user067,ME001,2023-06-01,1.863490577
368,OFF001,user068,ME001,2023-06-01,1.606770648
369,OFF001,user069,ME001,2023-06-01,1.73380888
370,OFF001,user070,ME001,2023-06-01,1.355656773
371,OFF001,user071,ME001,2023-06-01,1.897872392
372,OFF001,user072,ME001,2023-06-01,1.885789405
373,OFF001,user073,ME001,2023-06-01,1.870630189
374,OFF001,user074,ME001,2023-06-01,1.651063511
375,OFF001,user075,ME001,2023-06-01,1.064578197
376,OFF001,user076,ME001,2023-06-01,1.263353911
377,OFF001,user077,ME001,2023-06-01,1.795501356
378,OFF001,user078,ME001,2023-06-01,1.950043998
379,OFF001,user079,ME001,2023-06-01,1.038775691
380,OFF001,user080,ME001,2023-06-01,1.387961031
381,OFF001,user081,ME001,2023-06-01,1.442404265
382,OFF001,user082,ME001,2023-06-01,1.836903447
383,OFF001,user083,ME001,2023-06-01,1.139488144
384,OFF001,user084,ME001,2023-06-01,1.730366786
385,OFF001,user085,ME001,2023-06-01,1.255150713
386,OFF001,user086,ME001,2023-06-01,1.590358195
387,OFF001,user087,ME001,2023-06-01,1.159034893
388,OFF001,user088,ME001,2023-06-01,1.083343266
389,OFF001,user089,ME001,2023-06-01,1.477064055
390,OFF001,user090,ME001,2023-06-01,1.526769245
391,OFF001,user091,ME001,2023-06-01,1.740322355
392,OFF001,user092,ME001,2023-06-01,1.291730164
393,OFF001,user093,ME001,2023-06-01,1.152212967
394,OFF001,user094,ME001,2023-06-01,1.467479065
395,OFF001,user095,ME001,2023-06-01,1.874779372
396,OFF001,user096,ME001,2023-06-01,1.407935583
397,OFF001,user097,ME001,2023-06-01,1.459338805
398,OFF001,user098,ME001,2023-06-01,1.480481728
399,OFF001,user099,ME001,2023-06-01,1.669348912
400,OFF001,user100,ME001,2023-06-01,1.436916886
401,OFF001,user001,ME001,2023-06-02,1.827173366
402,OFF001,user002,ME001,2023-06-02,1.064372244
403,OFF001,user003,ME001,2023-06-02,1.923095382
404,OFF001,user004,ME001,2023-06-02,1.714394987
405,OFF001,user005,ME001,2023-06-02,1.642777538
406,OFF001,user006,ME001,2023-06-02,1.652047565
407,OFF001,user007,ME001,2023-06-02,1.664290477
408,OFF001,user008,ME001,2023-06-02,1.258669962
409,OFF001,user009,ME001,2023-06-02,1.422456038
410,OFF001,user010,ME001,2023-06-02,1.50412991
411,OFF001,user011,ME001,2023-06-02,1.149443567
412,OFF001,user012,ME001,2023-06-02,1.358470733
413,OFF001,user013,ME001,2023-06-02,1.22300767
414,OFF001,user014,ME001,2023-06-02,1.377509315
415,OFF001,user015,ME001,2023-06-02,1.867534457
416,OFF001,user016,ME001,2023-06-02,1.993854093
417,OFF001,user017,ME001,2023-06-02,1.851696062
418,OFF001,user018,ME001,2023-06-02,1.10566162
419,OFF001,user019,ME001,2023-06-02,1.087092838
420,OFF001,user020,ME001,2023-06-02,1.40529749
421,OFF001,user021,ME001,2023-06-02,1.806693648
422,OFF001,user022,ME001,2023-06-02,1.879592829
423,OFF001,user023,ME001,2023-06-02,1.369147549
424,OFF001,user024,ME001,2023-06-02,1.130861564
425,OFF001,user025,ME001,2023-06-02,1.721592929
426,OFF001,user026,ME001,2023-06-02,1.432069133
427,OFF001,user027,ME001,2023-06-02,1.065940864
428,OFF001,user028,ME001,2023-06-02,1.574186519
429,OFF001,user029,ME001,2023-06-02,1.232741724
430,OFF001,user030,ME001,2023-06-02,1.775877867
431,OFF001,user031,ME001,2023-06-02,1.132441236
432,OFF001,user032,ME001,2023-06-02,1.503986467
433,OFF001,user033,ME001,2023-06-02,1.58638435
434,OFF001,user034,ME001,2023-06-02,1.726199394
435,OFF001,user035,ME001,2023-06-02,1.829298069
436,OFF001,user036,ME001,2023-06-02,1.073677156
437,OFF001,user037,ME001,2023-06-02,1.465454982
438,OFF001,user038,ME001,2023-06-02,1.307326781
439,OFF001,user039,ME001,2023-06-02,1.557287631
440,OFF001,user040,ME001,2023-06-02,1.042285189
441,OFF001,user041,ME001,2023-06-02,1.908538158
442,OFF001,user042,ME001,2023-06-02,1.230707722
443,OFF001,user043,ME001,2023-06-02,1.007713976
444,OFF001,user044,ME001,2023-06-02,1.816936592
445,OFF001,user045,ME001,2023-06-02,1.184435436
446,OFF001,user046,ME001,2023-06-02,1.274240399
447,OFF001,user047,ME001,2023-06-02,1.113738068
448,OFF001,user048,ME001,2023-06-02,1.057133137
449,OFF001,user049,ME001,2023-06-02,1.345105474
450,OFF001,user050,ME001,2023-06-02,1.447962072
451,OFF001,user051,ME001,2023-06-02,1.060648094
452,OFF001,user052,ME001,2023-06-02,1.012285304
453,OFF001,user053,ME001,2023-06-02,1.66368634
454,OFF001,user054,ME001,2023-06-02,1.647813555
455,OFF001,user055,ME001,2023-06-02,1.796340257
456,OFF001,user056,ME001,2023-06-02,1.51489125
457,OFF001,user057,ME001,2023-06-02,1.549847291
458,OFF001,user058,ME001,2023-06-02,1.161404545
459,OFF001,user059,ME001,2023-06-02,1.113682966
460,OFF001,user060,ME001,2023-06-02,1.385551034
461,OFF001,user061,ME001,2023-06-02,1.92049273
462,OFF001,user062,ME001,2023-06-02,1.701690014
463,OFF001,user063,ME001,2023-06-02,1.240322734
464,OFF001,user064,ME001,2023-06-02,1.895529501
465,OFF001,user065,ME001,2023-06-02,1.900701702
466,OFF001,user066,ME001,2023-06-02,1.661435631
467,OFF001,user067,ME001,2023-06-02,1.164248165
468,OFF001,user068,ME001,2023-06-02,1.302436471
469,OFF001,user069,ME001,2023-06-02,1.554854001
470,OFF001,user070,ME001,2023-06-02,1.660957098
471,OFF001,user071,ME001,2023-06-02,1.650901019
472,OFF001,user072,ME001,2023-06-02,1.119726598
473,OFF001,user073,ME001,2023-06-02,1.24024579
474,OFF001,user074,ME001,2023-06-02,1.523864862
475,OFF001,user075,ME001,2023-06-02,1.968729487
476,OFF001,user076,ME001,2023-06-02,1.12233232
477,OFF001,user077,ME001,2023-06-02,1.909535287
478,OFF001,user078,ME001,2023-06-02,1.883452299
479,OFF001,user079,ME001,2023-06-02,1.175475888
480,OFF001,user080,ME001,2023-06-02,1.639609558
481,OFF001,user081,ME001,2023-06-02,1.397564277
482,OFF001,user082,ME001,2023-06-02,1.097221839
483,OFF001,user083,ME001,2023-06-02,1.3938967
484,OFF001,user084,ME001,2023-06-02,1.617808515
485,OFF001,user085,ME001,2023-06-02,1.343397697
486,OFF001,user086,ME001,2023-06-02,1.636331754
487,OFF001,user087,ME001,2023-06-02,1.841168556
488,OFF001,user088,ME001,2023-06-02,1.149630375
489,OFF001,user089,ME001,2023-06-02,1.834660087
490,OFF001,user090,ME001,2023-06-02,1.072175818
491,OFF001,user091,ME001,2023-06-02,1.429842108
492,OFF001,user092,ME001,2023-06-02,1.713434681
493,OFF001,user093,ME001,2023-06-02,1.435272791
494,OFF001,user094,ME001,2023-06-02,1.756893992
495,OFF001,user095,ME001,2023-06-02,1.222356172
496,OFF001,user096,ME001,2023-06-02,1.21111805
497,OFF001,user097,ME001,2023-06-02,1.456007158
498,OFF001,user098,ME001,2023-06-02,1.643336122
499,OFF001,user099,ME001,2023-06-02,1.940775806
500,OFF001,user100,ME001,2023-06-02,1.362713106
501,OFF001,user001,ME001,2023-06-02,1.33239366
502,OFF001,user002,ME001,2023-06-02,1.27879728
503,OFF001,user003,ME001,2023-06-02,1.586378757
504,OFF001,user004,ME001,2023-06-02,1.975216254
505,OFF001,user005,ME001,2023-06-02,1.439925186
506,OFF001,user006,ME001,2023-06-02,1.695847923
507,OFF001,user007,ME001,2023-06-02,1.180557739
508,OFF001,user008,ME001,2023-06-02,1.060936333
509,OFF001,user009,ME001,2023-06-02,1.952846489
510,OFF001,user010,ME001,2023-06-02,1.039771947
511,OFF001,user011,ME001,2023-06-02,1.034938354
512,OFF001,user012,ME001,2023-06-02,1.848223258
513,OFF001,user013,ME001,2023-06-02,1.820238148
514,OFF001,user014,ME001,2023-06-02,1.030709872
515,OFF001,user015,ME001,2023-06-02,1.781350612
516,OFF001,user016,ME001,2023-06-02,1.278120899
